question,answer,context_id
What can we infer from the passage?,You never know what you can do unless you try.,4093
"During the test, the people were given   _  .",different breakfast or sometimes none,34258
What is probably true of my friends ?,They have mental illnesses,8947
How may I feeling during this post ?,Stressed,51472
When will the job start?,In September 2016,9583
Why might the narrator be seeing old friends ?,They are attending a high school reunion .,4273
Why was the narrator kept in the dark about the Okayama trip ?,To make the trip more exciting .,43190
What may happen if all the servers worked instead ?,I may use less servers overall .,26570
What of the following is likely true about candidate Rick Saccone?,not enough information,32951
How may I be feeling right now ?,Depressed,44549
"According to the latest research, Mona Lisa was   _  .",the wife of Florentine merchant,21684
How long have the current school learning methods probably been in place?,probably for decades,28042
Why did the family not go to church ?,They wanted to sleep .,59662
The author gives us many ideas in order to let us   _  .,find out if contacts with nature improve our outlook on life,52635
Why was the kid kicking her ?,The kid is inside her tummy .,22260
What did the public do to support Alex and her cause?,They donated money to her foundation.,47526
Why is the narrator being so careful with the food ?,They do n't want to overfeed their pet .,49731
What did John order from the bartender?,Whiskey,35545
Why did Jason want to shut off the computer?,He was afraid something dangerous might happen.,13798
Why would Chad and Adam offer to help out ?,To be good neighbors .,37907
How many groups of mice are there finally in all in the experiment?,Seven.,32085
Why could n't Rachelle get around very well on her toe ?,Rachelle had injured her toe .,57311
Some students will do little in an open classroom because  _  .,there are too few rules,42248
Why is the narrator so stressed this morning ?,Their bank froze parts of their account .,52915
Why did most of the early immigrants work as railroad laborers?,Because they had to make a living by working as railroad laborers.,45453
You believe that the work of the airline employee mentioned in the story is to   _   at the airport.,check people's luggage,2364
Why did Chloe and Paul need to cash the check quickly.,Because they had broken many laws in the past twelve hours.,12547
What would say about the narrator and their level of culture ?,The narrator is well - read .,52190
Which would be the best title for the text?,"At Work, Keep It to Yourself",59050
How many books can you borrow at a time ?,five,40171
What can be inferred from the story?,Something serious happened to the boy's mother and sister.,15838
When did the author breakup with her boyfriend?,After he refused help.,34747
_   plays an important part in the development of Hawaii.,Tourist trade,3380
What can we infer from the passage?,Paparazzi and famous people rely on each other sometimes.,46057
"According to the passage, a good presenter always   _  .",catches the audience's imagination and attention,56724
Which of the following is TRUE according to the passage?,"Actually bananas are good in general because they produce less CO
2.",17137
Where is the London'S Olympic Park located?,East London.,6198
What is the topic discussed in the text?,The writer's hard work in an apple plant.,28522
"What does Jack provide, according to the advertisement?",Two student bedrooms.,40162
What may have happened if Mable was not ill ?,She would have enjoyed the food,41670
What was the sound ?,She passed gas,16731
Which of the following is true according to the passage?,The writer had been busy with her life before.,32062
Why does the narrator want to get a new phone ?,They think their phone is no longer working .,8796
Who did President Macron bring with him to the dinner?,His wife,24449
Which of the following statements is TRUE?,Arthur sets a good example to those with serious illness.,42246
How does Jim Kessler feel about President's Trump support at Saccone's rally?,He think he should be focussing more on expanding his own base because he's not gaining a lot of support,10353
Why would the narrator be so sweaty after this event ?,The narrator danced .,54627
What may be a plausible fact about me ?,I am running low on money .,6770
What can a tourist do in Catskills?,Join the local people in building castles.,32505
What do we know about the book?,It includes a number of vivid pictures and humorous notes.,55188
How does the blogger feel about traveling?,She loves it.,50689
What will this new music help with ?,Finding new bands and concerts to attend,11418
How long were the presidents in office?,Until they died,59900
The influence of business in the U.S. is evidenced by the fact that   _  .,even arts and entertainment are regarded as business,22690
Why is the narrator so down on themselves ?,They feel they are too old .,10056
We can infer from the story that the author  _  .,was supportive about Harriet's work,43704
The kiss probably lasted:,several minutes,49472
The streets running from north to south are called   _  .,avenues in New York,43217
Why does Paul have a soft spot in his heart for Winston?,Winston was shot while helping Paul out.,24178
What may not happen if I did n't eat lunch at the same place ?,I may miss out of learning from family with different background .,28236
The main idea of this passage is that   _  .,dreams can be useful in producing creative solutions to one's problems,44471
What does Terrance lack ?,Ambition,25381
What is World Endeavors?,It is a program to help people do voluntary job.,51275
Who is speaking ?,A Father,44699
Which of the following statements is TRUE?,Breakfast can provide us the power we need.,37059
You can't  _  in the theme park according to the passage.,have a skiing,17357
Why does the author write the passage?,"To call on students to apply to be Campus Coordinators,",12624
What was her favorite pizza?,not enough information,37496
Billie Holiday's parents' marriage ended because   _  .,Clarence spent too much time in working,43325
Why does the decoder need to be fixed ?,Not all the channels are coming through,24719
What is the reason I have to pay 15 dollars ?,"The 15 dollars covers a "" court cost "" or sort of fine for having a minor violation and proving compliance .",36219
Which of the following can be the best title for the passage?,The True Value of Friendship,11624
Why did Reid saying that the speaker should stop asking him to do things cause her to break up with him ?,"She was upset and irritable already , and his accusations only served to make matters worse",25502
"According to the passage, to which museum can you donate your hair?",The Hair Museum.,10061
Which of Paul Zindel's books was the most popular with young adults in the20th century?,The Pigman.,25488
"During their migrating flight, red knot wading birds can save energy by flying",in groups,43606
When did the author learn that eminent British sociologists regarded his viewpoint as naive?,After a meeting of the British Sociological Association.,13458
Which of the following statements is NOT true?,People who work in London prefer to live in the country.,44423
"By saying ""Only if it doesn't interfere with school,"" the author's father seemed   _  .",to have said yes to the author's offer of help,47717
Which aspect of hemp plastic isn't mentioned in the passage?,Production cost,10760
"According to the text, the study in 2010   _  .",discovered correlation between sitting and physical health in men and in women,28475
Thatched houses are still preferred because of   _  .,their style and comfort,12444
What may be the reason for this advertisement ?,They want to bring in more subscribers .,58264
What may happen after they experience this issue ?,They will try to fix the television themselves .,17305
we learn from the text that in Ireland  _  .,food shortages in the 1840s led to a decline in population,7926
From the passage we know that the virus attacked thousands of computers on .,Friday,14484
The best title for the passage is  _  .,A donation from the Pitts,50628
We can learn from the passage that the sales   _  .,actually start before the end of December,42094
What state may I currently be in ?,California,49831
What issue does SLS cause for the narrator,Make their scalp sore and itchy,12173
When did Juliette Murray start helping students get into medicine?,After she became a doctor,26180
"What does the author mean by saying ""his car becomes the extension of his personality"" in Para. 2 ?",Driving can show his hidden qualities.,23893
What time does the Casbah open?,not enough information,32978
What might be true about me ?,I am detailed in my work .,13312
Trisha wanted to be assosiated with Playboy:,before she was 15,47823
The high-tech scanner   _  .,can identify the presence of contaminants,54462
What type of climate does the narrator live in ?,The narrator is in a warm area .,35968
What will happen when he starts up on the thing he was talking about again after he wakes up from his drunken nap ?,I will get bored of the same conversation we just had .,16061
What may happen after stroking the dog ?,The dog will love the attention,49891
What can we learn about the simple phones in East Africa?,They provide a safe means for the locals to do business.,7868
What did Daniel think when he woke up and was told what had happened?,He always missed out on the best thing.,39269
"Why did you stay at a cabin with your brother , Eva Marie , and Maria ?","I stayed at a cabin with my brother , Eva Marie , and Maria because we wanted to spend time together .",37551
Which of the following statements is TRUE according to the text?,European Valentine's Day was named after a person.,15900
What is probably true about the outcome of the summit?,"If the summit goes poorly, U.S.-North Korean relations will decline.",58286
What subject is the narrator espousing upon ?,They are talking religion .,55980
What helped the writer determine whether or not she should leave her boyfriend?,She asked herself if she couldn't see him any more would she be okay with that.,21337
Which of the following is NOT true about David Blaine?,Blaine was born and brought up in England.,4143
What may be the reason for this advice ?,They think it will be a funny situation .,20300
What month is the activity supposed to take place?,not enough information,37638
what may be a fact about the person that died ?,He was taught namaste in yoga class .,25887
Why did the author most likely bite off more than they could chew with the second play?,because their first play was really successful which made them too confident,34016
What is Antonio Simmons' attitude towards Google?,Positive.,34881
Why do I feel like today was very bad ?,I had a bad day because I do n't feel well .,29518
From this article we know that   _  .,"in fact, the Sept. 11 attack had nothing to do with Hollywood films.",14435
where was the author probably located,at a jail called bridges house,38071
What may be the reason for them watching Batman ?,They needed to get their mind off other things .,41479
What results was the author hoping to achieve with the spell?,not enough information,24735
Which of the following facts about boxing is NOT mentioned in the passage?,The size of boxing rings.,21158
What is the narrator on the search for ?,Verbiage .,39605
What is likely true about former President Barack Obama?,He has an attachment and strong connection to the city of Chicago.,38415
How might have the actors in the play acted ?,The actors must have struggled with everything .,3449
What let Tim think seriously about the meaning of life?,His health problem.,53728
When did Aage see his first MG-TD?,On holiday with his folks in the U.K.,41252
A fuel-efficient car gives of   _   tons of carbon dioxide during its lifetime less than an average car.,30-38,21715
How did I feel after I completed my task ?,I felt pathetic that I could n't even handle a simple burrito .,5155
What issues does the quartz clock cause ?,It is not completely accurate with the time .,20288
The area of study called liberal arts is designed to   _  .,help students achieve a stronger and clearer mind,57390
The pastor's speech probably lasted:,30 minutes,41664
Why do I enjoy Wednesdays so much ?,It is always a lucky day for me .,19507
Peace parks help countries learn to work together by  _,creating a link and a learning desire,23391
What is probably true of Mike Pompeo?,He has influence on American foreign policy,30164
Why does the narrator choose to have so many foreign friends ?,The narrator wants to be more cultural .,11403
What Mr. Hunt said indicates that  _  .,he supports the idea of staycation,44865
What is causing so much pain to the narrator 's hips ?,A pending baby .,43494
What   would cause someone to want plastic surgery ?,If the natural supplements do not work,36585
Why does the narrator believe their birthday was n't perfect .,One of the days was constricted .,32801
Why would the narrator not submit their work again ?,They are afraid of failure .,2221
What may happen after riding around with underage girls ?,I wo n't feel rejected .,15714
Why is the narrator in so much pain ?,Their tonsils are on fire .,47613
The text in general is about   _  .,""" Open Season "" to bring fun for kids and adults.",44733
What is the main problem discussed in this article?,Outdoor exercise.,14165
What does the author think about Chihuly's art?,the author is impressed by his art,9643
What type of game is the narrator playing ?,They 're playing cards .,29530
what did Tillerson think of his firing?,not enough information,32598
The area of the moon is    _   .,about the same as that of North and South America,21375
Why is the narrator slow to get to Nyna 's ?,They are very tired .,59036
Which of the following statements is TRUE about Junelle's  food collecting?,She spent several hours on it each week.,55304
Why do you need to commit totally to your diet?,In order to reach your goals and become in tune with your body,13962
Why did the pastor ask to speak with the narrator ?,The pastor had prospects to help with a job for him .,25712
Bringing sharks back is difficult because  _  .,their reproductive rate is slow,5194
From the passage we can know that the author is   _   about the aging problem in China.,hopeful,51661
Where is the entrance to the Brookfield Zoo?,At First Avenue.,55965
what is probably stuarts inspiration,not enough information,12071
Why were Tom and Declan busy ?,A lot of players entered the midfield,36048
Why do you not like Daniella Risman ?,I do n't like Daniella Risman because I am jealous of her vocal skills in Choir .,57893
Why did they go with the local to the Valley of Fire ?,They wanted to see more nature than casinos .,43146
What did the children have for dinner ?,None of the above choices .,30901
This passage is mainly about  _  .,how parents should bring up their children,11743
When Hank marched and drilled along with the other soldiers    _    .,he did everything the other soldiers did,58518
"According to Chapman Henderson, which of the following does she probably agree with?",It is urgent to build tornado safe rooms.,10332
People in Coober Pedy live underground  _  .,due to the terrible natural environment.,44403
What may be the plausible reason his partner was running ?,He was being chased with a spider .,20750
Which is NOT right according to the passage?,It is a good time for children to watch TV all evening.,40310
Why was the narrator starting to cry ?,The Americans won a game .,12744
Contemporary Art studio is a place where  _  .,one can learn how to paint on pottery,56123
Why does Kyle drive a fancy car?,It makes him look successful.,14353
How do I know the girl that I talked to ?,We went to high school together,47208
The story happened  _  .,between neighbors,44748
What probably may musically gifted children face in ordinary schools?,Music is not seen as an important subject,42358
Why is the narrator 's image available for everyone to see .,It is posted on Flikr .,915
What happened after last night ?,I decided to take a day off of work .,22576
"At the end of the story, Steve Peoples probably is",Still a writer for the Associated Press,6004
What can we learn from the passage?,The research found moderate drinking has a strong protective effect.,31500
Who did the $20 note belong to?,The writer's father.,48357
The American College of Sports Medicine believes that:,A range of 1.2 grams to 1.7 grams of protein per kilogram of body weight is healthy to consume,24546
What may be a fact about the time speaker is talking about ?,They were pregnant .,29522
"Why has Winton been called"" the British Schindler""?",Because he rescued 669 children before the Second World War.,29823
"CCTV anchors have to ""do some fast talking"" because they can no longer                         _  .",mix English into Chinese,11877
What does the author think about recommendations from friends?,everyone is different and their recommendation may not be the best for your situation,802
Ducks at the end of each row sleep with one eye open because  _  .,they are watching out for danger,16737
From the passage we learn that   _   .,most happy jobs are related to helping others,39239
Why is it sometimes difficult to analyze student behavior?,Teachers do not have enough information about the students.,40008
Why may they have been studying ?,To get a good grade on a test .,49388
"When you say ""no"" to others you should say it in a   _  .",polite way,18606
Who had several pantents?,professor Suwak,39668
What may happen after the father withdraws his hand ?,There may be a lecture about behavior .,18787
What happened after I took the photos ?,I posted them on Instagram .,25134
Why might this animal be feral ?,It has never know human contact,6200
What will Cameron do once the narrator puts up the gate ?,Cameron will stand at the bottom of the stairs holding the gate .,51404
A T cell is   _   cell.,a white blood,54569
Where does this text probably come from?,A tourist guide,445
Which of the following is TRUE about charity shops?,The operating costs are very low.,29038
What may be the reason why they watched such horrible videos ?,To ensure that they do n't eat meat .,5269
Which of the following can be the best title of the passage?,A Reply Waited for Long,45276
How do I feel about organizing it all ?,I 'm nervous about how well I 'll do .,27605
What is the main idea of the passage?,The salt scare is not reasonable.,50887
Which of the following is NOT true about Mulcahy according to the passage?,Mulcahy becomes a famous football player.,331
The author introduces the topic of the passage by  _  .,describing an interesting scene,25790
Edward Burton could be described as a(n)     person.,cruel,14496
Why did the police arrest all the Negroes?,They were suspected to be the firebugs.,1266
What must I believe about her having a human doctor ?,i must believe it was just to please some fans and did n't like it .,43479
The owner of the diamond thought that if the diamond was cut successfully it might be worth   _   .,"$ 800,000,000",54086
What did Trump think of the gas attack?,not enough information,6376
Why do some bulls become the visitors' meal?,Because they are only beef cattle intended as people's food.,21740
What is Jason's job:,not enough information,35299
What can be learned from the text?,Taylor will appear on the same stage.,731
What might the person be looking to do by visiting the website ?,Learn about it,2567
Which would be the best title for the passage?,What's Your Best Time of the Day for Different Tasks,31714
What may have been the type of tour we were paying 300 bhat for ?,We were going on a water vessel as part of the sightseeing admission .,7179
"When conflicts arise among team members, the team leader should   _  .",work out their differences,45091
"Where was the movie ""The Good, The Bad, and The Ugly"" first seen?",not enough information,44723
Why did Semler change the way he and his employees worked?,Because the doctor warned him of the danger of overwork.,47847
In which section of a newspaper can we most likely to read the passage?,Education,39266
"What will raise the speed to more than 1,000 trillion operations a second.?",Loongson microchips,855
What may I feel about adoption ?,Some children are mistreated in adoption .,2881
What may have made Flacco so poised ?,He spend the week preparing for the game .,28282
Which of the following is true according to the passage?,Conditions of the prison were far more unsatisfactory in 1964.,51965
Which of the following is TURE according to the passage?,Obama was once very depressed  because of his unusual background.,38781
What job does the writer probably do?,A travel guide.,10560
How would it be better if your mid section was n't weak ?,It would be easier to get around .,14122
Viekie Weiner is the person who_.,works for a programme called ASSE,40505
What kind of person did she compare the angry customer to?,A strict dictator,20626
It can be inferred from the passage that  _  .,"the lifestyle of ""slow city"" will be good to environment and people",12777
The author concludes this passage with a tone of  _  .,uncertainty and humor,10321
It can be learned from the story that   _  .,this family were not rich but diligent,59150
The guy's offer was rejected because the author   _,didn't think it a good deal,14984
Early actors' eyes hurt because   _  .,the lights on movie sets were too bright,33045
How did the author restore his faith in humanity?,He got help from others,13001
How long were they in the birthing suite,12 to 14 hours,7858
The writer mainly wants to tell us   _  .,his adventure in the forest,47367
When did he notice the security camera?,After he was blocked by the security guard.,42255
The author's mother began to use mobile phone when  _  .,her husband suffered from cancer,45030
Why has the subject chosen the present moment to update their audience ?,The subject has realised that it has been a long time since a previous update .,59684
What best describes the weather ?,Stormy,30113
is not a film directed by Steven Spielberg.,The Life of Pi,25333
Which of the following statements about Ez-Link cards is true?,Fares will be taken out upon each ride automatically.,39405
Jan Low works for_.,the International Potato Center,3004
Why do they do this ?,None of the above choices .,44140
Students caddies who win the scholarship for golf caddies can    _   .,be free from housing and schooling costs,24002
People tend to believe that   _  .,someone's feelings can be read by their facial expressions,53317
A teacher can visit    _    to help his/her pupils to get pen-pals.,e-PALS,24561
What may happen if I do n't listen to the cop ?,I may cause a traffic accident .,28124
What can people do in the Madives if they win the holiday there?,They can adventure some water sports.,33760
Cleaning the windows is mentioned:,After sweeping and mopping the floor,30427
"According to the passage, which of the following statements is FALSE?",Anyone who did something wrong could find himself suddenly in the Bastille.,15475
What is the best title of this passage?,Ways to have a good school life,25325
Michael Horan wrote the letter mainly to show that_.,some pedestrians are a threat to road safety,11692
What will the passage develope next?,Another experiment on weight loss.,54174
What continent does the narrator live on ?,They live Down Under .,14808
The Grand Canal was in the most glorious time  _  .,when it was born about six hundred years later,46717
What may happen after they get their gifts ?,They will begin to read their new book .,30165
The number of Chinese students at American colleges and universities has increased by   _   compared to the year before.,23%,43260
Why would the narrator 's friend sell stuff on Ebay ?,They want to declutter their home .,28413
What happened to make me feel better ?,I made new friends,1522
What will happen at the scene that the narrator has just passed ?,Cops will be called .,7296
The entire bus ride home lasted how long?,1 hour,30525
What fact doesn't the passage provide?,Goods on the Internet are more expensive than those in real shops.,38462
Which would be a best title for this passage?,Playing is good for your children in many aspects,14684
"After building a website, Karyn  _  .",became very famous.,17333
What is the narrator most likely discussing in the passage ?,playing a video game,34487
Which of the following statements about the changes is TRUE?,"One particular chapter discusses verbs like ""care, like, love, hate, prefer, wish"".",45675
What may be your reason for not hanging acrylic in the kitchen ?,None of the above choices .,43772
How long it will take Angela to replace her desk?,one month,44170
Which of he following is NOT mentioned about scientists in earlier times?,They did not believe in results from scientific observation.,53638
The study was carried out by analyzing   _  .,volunteers' reactions to horrible pictures and data from their brain scans,47838
How does the author feel about the value of the teacher's prank to the students?,The prank was wrong and did not teach a lesson,44401
Which of the following will best continue this passage?,The reason of the two men's absence,17503
"In medical terms, the Internet addiction is   _  .",an official mental disorder,55993
"While the pictures were being taken, Luka     .",lay down on a surface,57222
Why was the boy scratching himself?,because he had an imaginary itch,23126
"If Father wanted Stephen to take over the estate, the first thing he did would  _  .",persuade Stephen not to go into RAF,52085
Who has being most critical of the plan?,The Economists,22245
The research on pigs at Purdue University shows that   _  .,pigs need affection,22911
"What the word ""  _  "" mean in the first sentence?",produced,21246
"After the end of this story, Rialto Bridge's is probably:",An historical landmark,12676
People in poor areas can't get help from the Crossroads if they need  _  .,fresh water and food,18139
The author mentions lipoprotein lipase mainly to  _  .,prove sitting for long is bad for our body,36122
Which of the following is true of the narrator ?,The narrator is a gamer .,35984
What can serve as the best title of this passage?,"A Carrot, an Egg or a Coffee Bean",58320
The example of Ling is given to show that   _  .,it's difficult to learn English well,51501
what is safari?,It is a web browser.,38580
The author's purpose in writing this passage is   _  .,to introduce Oktoberfest celebrations in the world,45942
"According to the author, this show is suitable  _",for both grown-ups and children,36825
"After what Abduraheem's story, how does he probably feel about being a Christian?",He now feels that he can be proud and open to being a Christian,38003
What may be a fact about this person ?,They are complaining about a book they had read .,33630
The main purpose of this announcement is to   _  .,tell students of important schedule changes,2164
"If Mr and Mrs Brown have a ""CAMPS"" coupon and want to join in the Summer Surf Camp from June 30th to July 3rd, how much should they pay?",$760.,15466
What is probably true about the author,They do not believe supplements are necessary,44310
What may of happened to him ?,None of the above choices .,25565
Which of the following can be the best title for the passage?,Family Unity Builds Success,55879
"In the eyes of Byrne, Harvard's program   _  .",will shut some students out,46005
How is the passage mainly developed?,By giving facts.,24756
"From the passage, we can learn that clowns play at   _  .",both A and B,48923
What will happen to the two children after they return to India?,They will have a better education.,40049
The article is mainly about   _  .,a new study on fake smiling and its influence on people,3737
What's the author's attitude towards teenagers?,He understands them.,49553
Which of the following statements is NOT true according to the passage?,"A woman who may be called""aunt""is no longer beautiful.",46062
How many germy places are mentioned in this passage?,six,2239
Why is the scene quite charged emotionally ?,They are going to be intimate .,15066
"According to the passage, what is Wikipedia?",A free website encyclopedia.,45790
Who held a curved sword?,Char,56057
What percentage of the population is illiterate   ?,2,57617
"""It is wise to follow streams and rivers"", which will ensure you to   _  .",avoid hacking a way through unbroken jungle,33442
Why is the writer prone to being the victim of such a significant theft ?,It was foolish to walk around with that amount of valuable property in their pocket,39964
Why is Rex potentially interested in filling Justin 's position with the speaker after he leaves ?,"Although he likes Justin , it is important to always have a backup plan and keep things running",59162
"Another man came in. By putting his hands on his stomach, he meant   _  .",he was hungry,12037
Why is the narrator having some trouble reading ?,They may be in a dream .,48461
"If El Nino happens, the following will take place EXCEPT   _  .",diseases spreading around the world,10417
What other things might I see while I 'm at this location ?,A hearse and a line of mourners .,33017
Which of the following is TRUE according to the text?,Most of the volunteers had just graduated from college.,2692
What did the author conclude about why people haven't lost weight and kept it off?,They haven't found the right diet that works for them,30271
The passage is mainly about   _  .,an introduction to sign language,39863
What may be a fact about this person ?,They are trying to reach a goal for their running times .,6313
Why was the narrator upset about their endeavor ?,They had not brought a camera .,41194
The author wrote this passage to    _,strongly recommend an e-book.,39174
Why is there some anxiety after the doctor visit ?,A skin lesion has been discovered .,43675
What is the reason McDonald 's would make me fat ?,None of the above choices .,36609
why was he gone so much ?,he had other plans,16312
Why was the narrator surprised at the stranger's question?,nobody talked about the person in question,47569
How may I feeling during this post ?,Angry,46731
In which part of a magazine would you probably read the passage?,People,38005
What can we conclude from the passage?,Not all the people approve of the passage of the DREAMAct.,58692
Tim Berners-Lee decided to write a program that would let academics from across the world share information on a single place when     .,he worked at a lab in Switzerland,31136
The main purpose of the passage is to  _  .,inform us to stay away from fast food,27218
What type of entertainment does the narrator like ?,They like broadway shows .,43997
How long did it probably take for the author to find the sunglasses?,3 years,25087
How does the mom probably feel about her dropping items off at her daughter's apartment?,To be helpful and surprise her with new things,2461
What may be the reason boys no longer flirted with her ?,None of the above choices .,28442
What may be the reason they are dressed to the nines ?,It is important for them to project professionalism .,52603
The author lived in Bridges House:,While attending college,24385
".According to the second story,the term ""K""  _  .",was used to call Van Buren's supporters in the election,59344
Why did the speaker hope that the one of the men would eventually take his wife away for good ?,He wanted out of the marriage but he did n't want to take responsibility for ending it,4824
What has happened to Tamara ?,She passed away .,44990
Why would the HR director be chatting for such a long period with the narrator ?,The HR Director wants to give him a job .,52474
The speaker lost hope and even thought of   _   at first.,killing himself,23591
"According to the text ,how did the two life-size lions impress the archaeologists?",Mysterious,19978
What may be a fact about their trip to Vegas ?,They were able to escape the casinos .,17827
What will happen after they hand over the basket ?,They will have their items rang up .,40863
"After the end of the story, Benedykt's family was probably:",Upset,10090
Why was n't the narrator so downtrodden ?,They have a day off coming up .,2430
"After her mother read the poem to her, the writer felt   _   at first.",sad,43802
"At the end of the story, the family is probably:",Happy and intact,19414
What do we know about the writer's science class?,She learned some class rules.,23474
What is the quality of the watch ?,The watch is high quality .,47864
Mr. Bassam Rady was_.,an Iraqi,20277
What is the key reason for polar bears' dying out?,The climate is changing due to people's activities.,19695
"According to the passage, an important step  leading to the correct use of vocabulary is   _  .",knowing the correct pronunciation and meaning of the words to be used,15310
What would be the best title for the text?,Composer: a man of mystery,18121
What are the requirements for the healthy growth of rose?,A lot of care and the right soil.,26740
What will the narrator do next after they get the domain back ?,The narrator will look to blog more .,58650
"According to the article,the launch of the satellite   _  .",proves that hard working teenagers can achieve a lot,36600
What may I be so enthusiastic about ?,I will enjoy time off along with a friend .,22676
"When you ask a teacher questions you already know the answers to,   _  .",you may make a fool of yourself trying to be smart,22473
Why do parents go along with their kids on job interviews?,Because they want to protect their kids from difficulties.,29241
Who is Mike to the narrator ?,Mike is her older brother .,33352
Why is there most likely support for Pres. Trump's tariffs?,not enough information,48216
From the passage we get to know that   _  .,the researchers reached their conclusion by analyzing the data,26800
He failed to complete his college education because he  _  .,found it difficult to keep his mind on his studies,42494
Why did the other guests get more attention ?,They had a bunch of cash .,5734
Which statement of the following is not true according to the passage?,"The writer once lived in New York City, so he was used to reading 
the Times.",24953
We can conclude form the passage that  _,important guests are arranged to sit on the host's right side,32544
Who spent the last few years preparing for an exhibition titled Sacred Landscapes?,Bryan C. Keene and Alexandra Kaczenski,37937
Where may I be living ?,A dorm room,49213
Why was there a halt in the progress made at the 2000 and 2007 summits?,North Korea has continued to develop nuclear weapons,39277
Who was the leader of the Seeker clan?,Silver,37077
The audio-magazines are mainly for  _  .,European journalists,26718
Why might they still be happy about the break - up ?,They still care for their ex - boyfriend 's happiness .,30270
What is the overall item the narrator is complaining about ?,They are complaining about their car .,21315
What product is probably the author's favorite of all the Juicy Tubes?,not enough information,11701
Who could the narrator be describing based off the description ?,Someone they are attracted to .,32613
Professor Bidle found that the eight-million-year-old bacteria were   _  .,alive with their genes damaged,2407
. What is the main point of the article?,The problem of loose dogs and the possible solutions.,20916
What religion may I be practicing ?,Christianity,24825
Which of the following is the benefit about the ILUV Syren Pro ?,You can use it whatever the weather is.,36607
Which of the fact is TRUE according to the passage?,2/3 0f consumers know little about which products are greener.,19342
Who is most likely to live a long life?,An orchestral conductor.,11654
"Beginners often complain that listening to spoken English is too hard,because  _  .",all mentioned above,26258
Desmond Meade probably believes that:,voters in Florida will support his ballot initiative.,10543
"If the ice melts at the present speed, by the end of this century the ice loss in the Arctic Ocean will be   _   according to newer studies.",100%,43303
"If you were meeting a British person for the first time, it would be polite of you to   _  , according to the article.",keep an arm's length away from him/her,39125
Why is the car not being fixed ?,The vehicle was imagined .,21564
The boyfriend probably thought that the writer would do what?,Leave him.,31158
What is Sondra's mom's job?,not enough information,49706
Who has avoided taking any major steps about trade?,President Trump,57260
Why does Susan feel more confident ?,She has an important item .,5346
What is probably true about patients from the trial with higher nutrient levels?,they like healthy foods,55016
How did the pranksters feel after they were shot at?,Scared,35176
What can we assume about the narrator based on what she says ?,She has kids .,2955
What is the reason that smoking can effect those all around it ?,"Second hand smoke can cause cancer , asthma and other diseases .",43787
What will happen after the visit ?,I will still worry about the contractions,12217
What people were targeted by the sanctions?,7 wealthy company owners,25859
How did Ponso feel about the visit of Estelle Raballand?,Excited.,26356
Why does the narrator feel the economy is on an upswing ?,They see people buying new vehicles .,42841
When did Patch run back to his tree?,Before speaking to Brighteyes,58600
What may be the plausible reason I feel dissapointed in myself ?,I stayed up most of the night .,6182
Why was New Orleans so unprepared for Hurricane Katrina,None of the above choices .,56176
"The ""do-it-yourself"" movement originated in  _  .",house decorating,43052
The main idea of this passage is that   _  .,a person was found who actually didn't need any sleep,54915
What may be a fact about this person ?,They were involved with a project in South Africa .,19816
What does Baymax do when he discovers Hiro is sad?,He comforts him with a hug.,57648
The passage mainly tells us that   _  .,the hot weather is a big problem for Olympic athletes,5698
What is the best help if you want to know the information about the street address in Kansas?,The computer.,16720
What happened after the Indian man headed to work to cause the Indian man to kick stones off the road?,The truck unintentionally scattered stones along a road he takes to work.,25952
What can we learn from this passage?,Support from family is important to special groups like the transgender.,40701
"From the passage, we know that   _   .",cereal is a kind of food which is popular among people,49690
How long did it probably take the narrator to write his book?,A year,2172
What may happen before we go to a restaurant ?,We drive to the restaurant .,49877
All the following might be a promoted gift EXCEPT   _  .,a box of heavily packaged chocolate,26201
Why was Lana hiding from Jim that she was leaving ?,Jim was Lana 's husband who she was trying to leave .,24382
What's the best title for Point 3?,"Be prepared to deal with""noes"".",50379
Why do n't I care when my car hit the car beside me ?,Because it is an abandoned car .,49310
What could be the best title of the text?,Hang on to that bad job for now,4586
In what context is this event occurring ?,Video game,41817
Why am I looking at new mouse - pads ?,I wanted to relieve the pain my old mouse - pad was causing .,54726
The author was delighted when she read the card from Jenna because   _  .,Jenna would be her friend again,16691
"According to the author, what is important for a person's future development?",Attitude.,49673
Where can we find this conversation?,In a radio program about books.,16340
What attracts children to join in the program to learn music?,The chance to learn new things.,55517
Why was the corporal seated ?,Because he had lost the use of his legs .,41166
Which of the following people have a view on TV different from the others?,TV producers.,21660
What did of movies does Animate sell ?,Anime,14825
The purpose of this text is to  _  .,let people know how to keep their fridges clean,19585
The article is written in order to   _  .,tell readers how to lose weight,57976
How long does Sondra probably know Billy-Eye?,She knows his for few years,36510
This passage mainly discusses  _  .,the history of tea drinking in Britain,6226
What can be learnt about the new study from the passage?,It was carried out in two periods of time.,30364
Why does the author 's sister 's comment most probably give rise to a sense of embarrassment in the author ?,"upon hearing that their armpits stank , the author felt self conscious and like a failure in another area of life",3107
Becky's illness probably lasted,several hours,4599
What the supporters of the plan saying?,They need to act now before China takes away jobs,45670
What may happen before the beginning of Monday ?,My reading on the scale would read slightly above mid-130s range .,30352
Why did Brad do the dishes for the speaker after his first day of medical school ?,Brad feels appreciative of everything that the speaker does for him and is showing this,7875
